# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
1.0000e-03 4.2927e+03 7.4452e-02 -5.2453e-02 8.5866e+03 3.1512e+03 -6.2318e-02 2.1396e+03 4.4500e-01 3.8718e-01 2.9504e-01 5.7038e+03 3.8014e+03 0.0000e+00 0.0000e+00
1.1775e-03 4.9845e+03 1.2459e-01 -8.4581e-02 9.9819e+03 4.0667e+03 -8.5666e-02 2.1396e+03 6.1734e-01 5.3672e-01 4.0763e-01 5.7030e+03 3.8004e+03 0.0000e+00 0.0000e+00
1.3865e-03 5.7812e+03 2.0603e-01 -1.3603e-01 1.1583e+04 5.0729e+03 -1.1739e-01 2.1395e+03 8.5659e-01 7.4371e-01 5.6253e-01 5.7019e+03 3.7991e+03 0.0000e+00 0.0000e+00
1.6326e-03 6.6947e+03 3.3729e-01 -2.1807e-01 1.3413e+04 6.1764e+03 -1.6015e-01 2.1395e+03 1.1888e+00 1.0299e+00 7.7508e-01 5.7004e+03 3.7972e+03 0.0000e+00 0.0000e+00
1.9224e-03 7.7360e+03 5.4721e-01 -3.4826e-01 1.5492e+04 7.3831e+03 -2.1719e-01 2.1394e+03 1.6505e+00 1.4245e+00 1.0657e+00 5.6982e+03 3.7946e+03 0.0000e+00 0.0000e+00
2.2636e-03 8.9135e+03 8.8048e-01 -5.5360e-01 1.7838e+04 8.6979e+03 -2.9209e-01 2.1392e+03 2.2924e+00 1.9671e+00 1.4614e+00 5.6953e+03 3.7910e+03 0.0000e+00 0.0000e+00
2.6654e-03 1.0232e+04 1.4055e+00 -8.7511e-01 2.0465e+04 1.0124e+04 -3.8828e-01 2.1391e+03 3.1857e+00 2.7092e+00 1.9968e+00 5.6913e+03 3.7862e+03 0.0000e+00 0.0000e+00
3.1386e-03 1.1690e+04 2.2257e+00 -1.3741e+00 2.3375e+04 1.1662e+04 -5.0767e-01 2.1388e+03 4.4298e+00 3.7167e+00 2.7159e+00 5.6857e+03 3.7795e+03 0.0000e+00 0.0000e+00
3.6957e-03 1.3280e+04 3.4952e+00 -2.1403e+00 2.6561e+04 1.3307e+04 -6.4797e-01 2.1385e+03 6.1647e+00 5.0695e+00 3.6719e+00 5.6781e+03 3.7705e+03 0.0000e+00 0.0000e+00
4.3517e-03 1.4992e+04 5.4390e+00 -3.3022e+00 2.9995e+04 1.5050e+04 -7.9732e-01 2.1380e+03 8.5870e+00 6.8573e+00 4.9262e+00 5.6676e+03 3.7583e+03 0.0000e+00 0.0000e+00
5.1241e-03 1.6803e+04 8.3785e+00 -5.0372e+00 3.3625e+04 1.6871e+04 -9.2459e-01 2.1374e+03 1.1974e+01 9.1675e+00 6.5433e+00 5.6532e+03 3.7419e+03 0.0000e+00 0.0000e+00
6.0336e-03 1.8673e+04 1.2761e+01 -7.5797e+00 3.7374e+04 1.8738e+04 -9.6208e-01 2.1365e+03 1.6715e+01 1.2060e+01 8.5808e+00 5.6337e+03 3.7200e+03 0.0000e+00 0.0000e+00
7.1046e-03 2.0543e+04 1.9190e+01 -1.1221e+01 4.1128e+04 2.0604e+04 -7.7669e-01 2.1353e+03 2.3358e+01 1.5525e+01 1.1069e+01 5.6072e+03 3.6912e+03 0.0000e+00 0.0000e+00
8.3657e-03 2.2336e+04 2.8433e+01 -1.6296e+01 4.4735e+04 2.2401e+04 -1.2413e-01 2.1336e+03 3.2669e+01 1.9431e+01 1.3982e+01 5.5715e+03 3.6538e+03 0.0000e+00 0.0000e+00
9.8506e-03 2.3952e+04 4.1388e+01 -2.3126e+01 4.7998e+04 2.4036e+04 1.4185e+00 2.1313e+03 4.5703e+01 2.3471e+01 1.7190e+01 5.5240e+03 3.6057e+03 0.0000e+00 0.0000e+00
1.1599e-02 2.5265e+04 5.8980e+01 -3.1930e+01 5.0670e+04 2.5388e+04 4.5443e+00 2.1282e+03 6.3888e+01 2.7117e+01 2.0407e+01 5.4613e+03 3.5450e+03 0.0000e+00 0.0000e+00
1.3658e-02 2.6130e+04 8.1936e+01 -4.2651e+01 5.2461e+04 2.6312e+04 1.0324e+01 2.1240e+03 8.9099e+01 2.9570e+01 2.3146e+01 5.3797e+03 3.4698e+03 0.0000e+00 0.0000e+00
1.6082e-02 2.6390e+04 1.1043e+02 -5.4746e+01 5.3060e+04 2.6650e+04 2.0300e+01 2.1183e+03 1.2367e+02 2.9623e+01 2.4699e+01 5.2753e+03 3.3785e+03 0.0000e+00 0.0000e+00
1.8937e-02 2.5900e+04 1.4360e+02 -6.6961e+01 5.2181e+04 2.6255e+04 3.6482e+01 2.1105e+03 1.7027e+02 2.5593e+01 2.4202e+01 5.1443e+03 3.2699e+03 0.0000e+00 0.0000e+00
2.2298e-02 2.4573e+04 1.7908e+02 -7.7280e+01 4.9646e+04 2.5039e+04 6.1159e+01 2.1001e+03 2.3161e+02 1.5858e+01 2.0810e+01 4.9832e+03 3.1432e+03 0.0000e+00 0.0000e+00
2.6256e-02 2.2440e+04 2.1316e+02 -8.3263e+01 4.5513e+04 2.3030e+04 9.6388e+01 2.0861e+03 3.0974e+02 -3.0038e-01 1.3966e+01 4.7897e+03 2.9980e+03 0.0000e+00 0.0000e+00
3.0917e-02 1.9714e+04 2.4187e+02 -8.3011e+01 4.0198e+04 2.0434e+04 1.4325e+02 2.0675e+03 4.0535e+02 -2.3059e+01 3.6169e+00 4.5623e+03 2.8345e+03 0.0000e+00 0.0000e+00
3.6405e-02 1.6796e+04 2.6348e+02 -7.6468e+01 3.4497e+04 1.7645e+04 2.0134e+02 2.0430e+03 5.1729e+02 -5.1697e+01 -9.9296e+00 4.3003e+03 2.6532e+03 0.0000e+00 0.0000e+00
4.2867e-02 1.4172e+04 2.8062e+02 -6.6036e+01 2.9384e+04 1.5156e+04 2.6950e+02 2.0109e+03 6.4347e+02 -8.5987e+01 -2.6689e+01 4.0032e+03 2.4567e+03 0.0000e+00 0.0000e+00
5.0475e-02 1.2171e+04 2.9880e+02 -5.4696e+01 2.5540e+04 1.3315e+04 3.4840e+02 1.9694e+03 7.8324e+02 -1.2751e+02 -4.7708e+01 3.6723e+03 2.2502e+03 0.0000e+00 0.0000e+00
5.9435e-02 1.0696e+04 3.1798e+02 -4.1529e+01 2.2778e+04 1.2037e+04 4.4252e+02 1.9167e+03 9.3847e+02 -1.7858e+02 -7.4243e+01 3.3133e+03 2.0408e+03 0.0000e+00 0.0000e+00
6.9985e-02 9.1704e+03 3.2236e+02 -1.9420e+01 1.9904e+04 1.0701e+04 5.5404e+02 1.8508e+03 1.1064e+03 -2.3606e+02 -1.0436e+02 2.9410e+03 1.8347e+03 0.0000e+00 0.0000e+00
8.2407e-02 7.1733e+03 2.9277e+02 1.4550e+01 1.5982e+04 8.7956e+03 6.6658e+02 1.7706e+03 1.2649e+03 -2.8702e+02 -1.3069e+02 2.5742e+03 1.6330e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.2853e+03 2.4443e+02 4.4560e+01 1.2175e+04 6.9027e+03 7.4825e+02 1.6759e+03 1.3795e+03 -3.2056e+02 -1.4735e+02 2.2221e+03 1.4368e+03 0.0000e+00 0.0000e+00
1.1426e-01 4.2017e+03 2.0507e+02 5.7409e+01 9.9901e+03 5.8496e+03 7.9785e+02 1.5681e+03 1.4509e+03 -3.4395e+02 -1.5843e+02 1.8843e+03 1.2521e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.3506e+03 1.5752e+02 6.6251e+01 8.2460e+03 5.0133e+03 8.3879e+02 1.4489e+03 1.5005e+03 -3.6225e+02 -1.6632e+02 1.5717e+03 1.0830e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.4183e+03 9.9825e+01 7.1254e+01 6.2270e+03 3.9696e+03 8.4318e+02 1.3206e+03 1.4977e+03 -3.6385e+02 -1.6471e+02 1.2959e+03 9.2737e+02 0.0000e+00 0.0000e+00
